views,painting,size,medium,title,artistCountry,creator,pubDate,artist_NoOfArts,artist_followers,materials,favoriteCount,subject,price,
1120,Oil,1200,Oil, Granada Bait & Tackle Painting by Lesley Giles,,Lesley Giles,1.23077E+12,92,42,Canvas,29,Seascape,3000,8.006367568
256,Oil,2328.54,Oil, Reborn Painting by Geza Ricz,Austria,Geza Ricz,1.48323E+12,12,48,Canvas,14,Body,5410,8.596004372
21,Oil,97.94,Oil, Garagem Painting by Mauricio Mallet,Brazil,Mauricio Mallet,1.48323E+12,67,21,Paper,1,Children,998,6.905753276
364,Acrylic and Gesso,1200,Acrylic Gesso, Cognition No.5 2015 Painting by Adamo Tiseo,Canada,Adamo Tiseo,1.42007E+12,28,6,Canvas,12,Abstract,840,6.733401892
862,Oil,432,Oil, Waterlilies Garden Original oil Painting One of a Kind Painting by Vahe Yeremyan,United States,Vahe Yeremyan,1.45161E+12,905,589,Canvas,43,Garden,380,5.940171253
1712,Acrylic and Oil,139.24,Acrylic Oil, Clearing fog Painting by Gina Parr,United Kingdom,Gina Parr,1.357E+12,191,326,Canvas,45,Seascape,900,6.802394763
38,Gesso,1296,Gesso Acrylic Enamel, The Harp of the Kingdom Painting by Rodrigue Semabia,United States,Rodrigue Semabia,1.48323E+12,403,70,Canvas,0,Abstract,1510,7.31986493
86,Oil and Charcoal,1728,Oil Charcoal, After the Flood Painting by Barbara Fisher,United States,Barbara Fisher,1.38853E+12,60,14,Canvas,5,Abstract,5410,8.596004372
101,Acrylic and Pastel,246.49,Acrylic Pastel, Les poissons davril... Painting by Stéphanie de Malherbe,France,Stéphanie de Malherbe,1.48323E+12,147,175,Wood,3,Landscape,710,6.56526497
1332,Oil,1111.62,Oil, Twilight Painting by Jagoda Kaczmarczyk-Hudzik,Poland,Jagoda Kaczmarczyk-Hudzik,1.37255E+12,56,59,Canvas,27,Abstract,1190,7.081708586
866,Oil,464.92,Oil, RED WINE Painting by HYZHY OLEH,Ukraine,HYZHY OLEH,1.43934E+12,61,112,Canvas,45,Still Life,1540,7.339537695
1704,Acrylic,992.25,Acrylic, Indian summer Painting by Ute Laum,Germany,Ute Laum,1.42007E+12,101,768,Canvas,55,Seasons,1970,7.585788822
2491,Watercolor,1280,Watercolor, Too Late Painting by Valerie Patterson,United States,Valerie Patterson,1.19915E+12,36,87,Paper,34,People,3250,8.086410275
731,Ink,2450,Ink, Colour Event No.4 Painting by campbell laird,United States,campbell laird,1.2623E+12,60,134,Aluminium Paper Other,27,Abstract,6950,8.846496939
271,Oil,543.72,Oil, Original oil painting  Spring Painting by Liza Yashyna,Russia,Liza Yashyna,1.38853E+12,85,8,Canvas,17,Garden,830,6.721425701
344,Ink and Pencil,3456,Ink Pencil, Existence Painting by Denise McCabe,Ireland,Denise McCabe,1.45161E+12,16,21,Paper,9,Abstract,2410,7.787382026
283,Oil,185.26,Oil, Pears Painting by isabel robledo,Spain,isabel robledo,1.45506E+12,32,18,Canvas Cardboard Other,20,Food,240,5.480638923
